epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6951,2.00407,4.28301,2.51062,0.00333,1,0.26964,0.08791,2.31856,4.31287,3.80587,0.000653061,0.000653061,0.000653061
2,25.6071,1.55634,3.71615,2.3241,0.4154,0.41667,0.34552,0.13513,1.78235,4.1021,3.34649,0.00118907,0.00118907,0.00118907
3,37.522,1.57701,3.66815,2.27085,0.4154,0.41667,0.34552,0.13513,1.78235,4.1021,3.34649,0.00159309,0.00159309,0.00159309
4,50.3652,1.62429,3.57385,2.18115,0.31998,0.41667,0.2898,0.13481,1.6075,3.1742,2.83358,0.001406,0.001406,0.001406
5,64.0559,1.3678,3.43933,2.02713,0.39128,0.5,0.48068,0.18174,1.70953,3.32281,2.90609,0.001208,0.001208,0.001208
6,78.1266,1.38916,3.24946,2.13496,0.7412,0.58333,0.67164,0.29394,1.63211,3.46213,2.86743,0.00101,0.00101,0.00101
7,89.6245,1.45365,3.28458,2.17446,0.55387,0.58333,0.52896,0.21029,1.6551,3.19736,2.94246,0.000812,0.000812,0.000812
8,101.898,1.23124,3.19111,2.02203,0.55387,0.58333,0.52896,0.21029,1.6551,3.19736,2.94246,0.000614,0.000614,0.000614
9,114.663,1.33162,3.08741,2.07587,0.43528,0.66667,0.52373,0.24108,1.53249,3.48862,2.84523,0.000416,0.000416,0.000416
10,128.781,1.26224,3.06261,1.99,0.62618,0.58333,0.56612,0.24125,1.61211,3.18164,2.99641,0.000218,0.000218,0.000218
