epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2679,1.98694,3.44244,2.4072,0.00333,1,0.21978,0.10527,2.34541,4.11743,3.39686,0.000653061,0.000653061,0.000653061
2,35.1037,1.74401,3.18147,2.26662,0.00306,0.91667,0.12861,0.04592,2.86914,4.59593,3.74209,0.0012936,0.0012936,0.0012936
3,52.4408,1.91291,3.19374,2.32518,0.00306,0.91667,0.12861,0.04592,2.86914,4.59593,3.74209,0.00190773,0.00190773,0.00190773
4,66.701,1.82065,3.08916,2.25389,0.53925,0.5,0.5507,0.22263,2.08554,6.88762,3.23094,0.0018812,0.0018812,0.0018812
5,80.9446,1.60988,3.21878,2.09415,0.11959,0.16667,0.13944,0.05834,2.02877,3.94432,2.96555,0.0018416,0.0018416,0.0018416
6,93.7983,1.76672,3.064,2.15946,0.02392,0.5,0.06905,0.02268,2.91283,4.36721,3.73548,0.001802,0.001802,0.001802
7,106.623,1.95603,2.97668,2.32916,0.18147,0.58333,0.14384,0.05303,2.0248,3.88168,2.98898,0.0017624,0.0017624,0.0017624
8,119.363,1.67419,2.98266,2.07736,0.18147,0.58333,0.14384,0.05303,2.0248,3.88168,2.98898,0.0017228,0.0017228,0.0017228
9,131.715,1.60934,3.00071,2.12761,0.31173,0.41526,0.2359,0.11442,1.7551,4.37125,2.71616,0.0016832,0.0016832,0.0016832
10,144.285,1.6487,2.86033,2.10033,0.18815,0.25,0.17779,0.07441,2.03179,6.8381,3.3935,0.0016436,0.0016436,0.0016436
11,156.857,1.635,2.71779,2.12008,0.03642,0.16667,0.03313,0.01355,2.30658,8.99852,3.22018,0.001604,0.001604,0.001604
12,169.682,1.71352,2.86325,2.13747,0.03642,0.16667,0.03313,0.01355,2.30658,8.99852,3.22018,0.0015644,0.0015644,0.0015644
13,182.383,1.5836,2.94411,2.07777,0.03567,0.5,0.03129,0.01214,2.13883,5.61291,3.05064,0.0015248,0.0015248,0.0015248
14,194.667,1.64285,2.93049,1.97496,0.14895,0.33333,0.12792,0.04178,2.02915,3.74152,3.18053,0.0014852,0.0014852,0.0014852
15,207.186,1.61763,2.71101,2.0479,0.38669,0.5,0.30279,0.084,1.98663,3.86867,3.23584,0.0014456,0.0014456,0.0014456
16,219.707,1.54662,2.63419,1.99691,0.38669,0.5,0.30279,0.084,1.98663,3.86867,3.23584,0.001406,0.001406,0.001406
17,232.819,1.58736,2.6263,2.05768,0.61706,0.58333,0.42237,0.13516,1.85593,3.99961,3.02168,0.0013664,0.0013664,0.0013664
18,245.23,1.58204,2.86415,2.0242,0.3437,0.41667,0.31457,0.10887,2.12526,5.25896,3.28289,0.0013268,0.0013268,0.0013268
19,257.821,1.64358,2.52406,2.12064,0.54521,0.5,0.37566,0.13023,2.11816,4.21003,3.06441,0.0012872,0.0012872,0.0012872
20,270.551,1.56918,2.58861,2.11007,0.54521,0.5,0.37566,0.13023,2.11816,4.21003,3.06441,0.0012476,0.0012476,0.0012476
21,282.937,1.67107,2.79503,2.12489,0.429,0.58333,0.41778,0.16306,1.94219,3.26422,2.89784,0.001208,0.001208,0.001208
22,295.629,1.49484,2.69311,1.91407,0.66222,0.58333,0.57354,0.30503,1.74634,3.08986,2.71173,0.0011684,0.0011684,0.0011684
23,307.997,1.45246,2.66373,1.87865,0.83607,0.66667,0.68446,0.34541,1.70769,2.84915,2.79269,0.0011288,0.0011288,0.0011288
24,320.771,1.4815,2.50847,2.01145,0.91363,0.5,0.68832,0.33933,1.77817,2.90388,2.79594,0.0010892,0.0010892,0.0010892
25,333.474,1.47528,2.31632,1.9978,0.91363,0.5,0.68832,0.33933,1.77817,2.90388,2.79594,0.0010496,0.0010496,0.0010496
26,346.098,1.4687,2.63374,1.86273,0.78262,0.5,0.60955,0.26893,1.78012,2.8989,2.77806,0.00101,0.00101,0.00101
27,359.283,1.44679,2.35489,1.94729,0.63286,0.5753,0.58744,0.26307,1.9044,3.40344,2.91246,0.0009704,0.0009704,0.0009704
28,371.683,1.40543,2.34883,1.87259,0.85834,0.5056,0.60569,0.26602,2.00889,4.12449,3.11777,0.0009308,0.0009308,0.0009308
29,384.119,1.54237,2.33878,2.17396,0.85834,0.5056,0.60569,0.26602,2.00889,4.12449,3.11777,0.0008912,0.0008912,0.0008912
30,396.6,1.47136,2.32153,1.95768,0.6676,0.58333,0.57387,0.25168,2.00658,5.56849,3.18277,0.0008516,0.0008516,0.0008516
31,409.741,1.24035,2.43557,1.72612,0.65254,0.5,0.57465,0.2513,1.80693,6.12635,2.87583,0.000812,0.000812,0.000812
32,422.257,1.4201,2.45668,1.94366,0.58783,0.5,0.59083,0.27839,1.76312,5.54152,2.84176,0.0007724,0.0007724,0.0007724
33,434.503,1.39733,2.60805,1.83807,0.58783,0.5,0.59083,0.27839,1.76312,5.54152,2.84176,0.0007328,0.0007328,0.0007328
34,446.957,1.41253,2.1548,1.99803,0.77912,0.5,0.58473,0.28233,1.63504,4.56664,2.66666,0.0006932,0.0006932,0.0006932
35,459.5,1.52991,2.5474,1.96068,1,0.48868,0.65719,0.31287,1.60438,3.71361,2.64595,0.0006536,0.0006536,0.0006536
36,473.044,1.36931,2.21306,1.87473,0.84851,0.46979,0.6202,0.31821,1.63598,3.34906,2.66891,0.000614,0.000614,0.000614
37,485.502,1.50426,2.46564,2.03284,0.53354,0.58333,0.60364,0.2975,1.64406,3.39952,2.62998,0.0005744,0.0005744,0.0005744
38,497.753,1.5293,2.31076,2.01904,0.53354,0.58333,0.60364,0.2975,1.64406,3.39952,2.62998,0.0005348,0.0005348,0.0005348
39,510.3,1.32498,2.5,1.8449,0.53517,0.58333,0.61611,0.28653,1.70502,3.68104,2.75039,0.0004952,0.0004952,0.0004952
40,522.845,1.44692,2.08291,1.9754,0.45961,0.66667,0.58337,0.2655,1.69614,4.23738,2.73332,0.0004556,0.0004556,0.0004556
41,535.46,1.32881,2.7281,2.00402,0.66321,0.41667,0.5953,0.27362,1.72165,3.41087,2.63885,0.000416,0.000416,0.000416
42,547.467,1.2542,2.67089,1.90044,0.66321,0.41667,0.5953,0.27362,1.72165,3.41087,2.63885,0.0003764,0.0003764,0.0003764
43,560.063,1.2457,2.57339,1.99479,0.94591,0.41667,0.59356,0.28683,1.66497,3.17678,2.56427,0.0003368,0.0003368,0.0003368
44,572.44,1.33561,2.58645,1.98398,0.94834,0.41667,0.60241,0.30158,1.66172,3.03992,2.57004,0.0002972,0.0002972,0.0002972
45,584.906,1.17729,2.5384,1.89322,0.95554,0.41667,0.59596,0.31203,1.63048,2.72873,2.5175,0.0002576,0.0002576,0.0002576
46,597.44,1.18672,2.44229,1.87423,0.95554,0.41667,0.59596,0.31203,1.63048,2.72873,2.5175,0.000218,0.000218,0.000218
47,609.529,1.24983,2.56504,1.91051,0.96889,0.41667,0.64781,0.32281,1.63027,2.58407,2.54404,0.0001784,0.0001784,0.0001784
48,622.042,1.13593,2.38523,1.78612,0.93908,0.41667,0.60574,0.32416,1.63361,2.74813,2.59098,0.0001388,0.0001388,0.0001388
